name,address,hash,license,date,compiler,evm,transactions,balance,length
ZhengHeToKEN,0xab4a12ae82497159f90af30a4c2b1143700c7125,371484d51145f7a3,GNU GPLv2,2019-11-15_07-50-22,v0.4.24+commit.e67f0147,Default,2,0,5775
Swap,0x251f752b85a9f7e1b3c42d802715b5d7a8da3165,5550c4e983e61746,Apache-2.0,2019-08-29_23-09-27,v0.5.10+commit.5a6ea5b1,Default,49,0,8739
P2T_ERC20,0x95d097f455dedd41c4860aba573b3f3018ef2d6e,7546dd49ca4b32da,MIT,2019-11-12_17-24-14,v0.4.25+commit.59dbf8f1,Default,61,0,8106
NESTAbonus,0xF67B829397Dc05751a98f243DbdE5Db63f86E7f6,72460cfcf1436131,GNU GPLv3,2020-04-23_13-36-12,v0.5.8+commit.23d335f2,Default,3016,0,5901
ArbitrationLicense,0x7e571b13AeB1A6ABcFC470B7d033a6838e53f440,efda63849e09bf,MIT,2020-01-13_22-57-19,v0.5.10+commit.5a6ea5b1,Default,2,0,7956
Verza,0xee2d318462fdb587b96f7e69606c6afd0e2ff633,33525c7529eb9a8a,GNU GPLv3,2020-02-08_01-54-05,v0.4.25+commit.59dbf8f1,Default,69,0,5775
BlockLoopsToken,0xD4Abd907Bfead0825FE21631A4dC5B99C6fA8875,4f6d34672f8d8bd4,MIT,2020-01-01_23-29-39,v0.5.12+commit.7709ece9,Default,2,0,2679
SEC,0x860a8c64cbc7f9aac11428ef8df989f5770cda60,57520a5f4a95119e,MIT,2019-11-17_12-18-07,v0.4.24+commit.e67f0147,Default,57,0,18614
AuthorizationDataSource,0xa456e426308210c44daa0cddf29d8f96198f2bdf,24375663339006b2,GNU GPLv3,2019-09-05_13-17-30,v0.4.25+commit.59dbf8f1,Default,10000,0,5177
ConnectOne,0x1beCC315E044E8ee8898011609E63F8259d3B124,395b0a201146f1d,MIT,2020-05-11_02-15-27,v0.6.0+commit.26b70077,Default,1,0,6916
Oracle,0xa4eb286697f4ac4db32b8e9e58d14c9d4dbd1de1,1b87bcc868f9b780,MIT,2020-02-26_22-53-24,v0.6.3+commit.8dda9521,Default,2,0,4693
CompoundFlashLoanTaker,0xec5c68263ad1b0a48f476660f53900ca2117c0d4,1590299f71b0ea24,MIT,2020-06-04_12-55-51,v0.6.6+commit.6c089d02,Default,1,0,14288
PHEToken,0x6736077ae034e16f7fafd2d5ed1358370fda1f88,7d9380177a22a1ab,MIT,2020-02-20_07-11-02,v0.4.19+commit.c4cbbb05,Default,292,0,5972
Shame,0xee4550f61da479274a08e2396684cda7a8295a6e,5cd654042562ed44,MIT,2020-06-03_03-52-43,v0.5.17+commit.d19bba13,Default,2,0,1129
AroundTheWorldTravel,0xe3c55be451b7e4e97eb75f2729d41d8d563cd41e,16f20ed76738d4a8,GNU GPLv2,2019-12-07_09-37-53,v0.4.23+commit.124ca40d,Default,923,0,5688
ERC20Basic,0x59321ace77c8087ff8cb9f94c8384807e4fd8a3c,329f73d6680b9ed7,Unlicense,2020-03-22_13-30-11,v0.5.1+commit.c8a2cb62,Default,191,0,3199
UniswapTradeExample,0x8645b4B64569719377Ef890A0fE5D2d61e6f2F95,217370e4d6262e42,MIT,2020-03-20_11-27-30,v0.4.26+commit.4563c3fc,Default,4,0,1058
HKMT,0xc8c97d9B0aF219c2329a0179f6AB8C7a55B39fc1,555a89ad2a5da4b0,MIT,2020-05-31_12-49-11,v0.5.17+commit.d19bba13,Default,1,0,6653
OrangeVenice,0xcf2d7bb46dc2fb67574ad6959b684ec5b7924c61,6f303d01cba05a03,GNU GPLv2,2020-04-10_05-05-25,v0.4.25+commit.59dbf8f1,Default,3,0,18972
Town,0x3DB94aF2808ba0C8A6C21Ee0c63E50047A6FFf87,470324a147a81d29,GNU GPLv2,2019-11-14_16-43-24,v0.5.11+commit.c082d0b4,Default,47,457615537364309161,22306
FissionPool,0x92422f53e53741c6127d0ab30d5ea3df794ee86f,61dfbd1f167e9b3a,MIT,2020-02-27_07-26-07,v0.5.11+commit.c082d0b4,Default,1,0,5002
QTLToken,0x17c72d96a9071d58fb2fa02a174ac10e79ec6a54,9999441e2a047a4,MIT,2019-09-21_05-19-11,v0.5.11+commit.c082d0b4,Default,530,0,4831
Eightherbank,0xc6e5e9c6f4f3d1667df6086e91637cc7c64a13eb,6fbb6c588f0de837,Unlicense,2019-11-16_11-57-29,v0.4.20+commit.3155dd80,Default,2833,21863626831985490209,6837
AugustusSwapper,0x87fabb3BdC15DEd4d34654C67b1342d482b45445,e1a14f8705f2b96,Unlicense,2020-04-07_17-48-37,v0.5.11+commit.c082d0b4,Default,8,0,10110
ProxyFactory,0x50e55af101c777ba7a1d560a774a82ef002ced9f,541d32e5568d4cd5,GNU LGPLv3,2019-11-11_18-47-30,v0.5.11+commit.c082d0b4,Default,2,0,3122
MindsyncAdvisors,0x7e2a22a39bdcf6188d5c06f156d2b377ab925eb6,596ec03843c72a25,Apache-2.0,2019-10-21_11-29-26,v0.5.12+commit.7709ece9,Default,2,0,2438
PoWHr,0xdeb80f943ae5fe7ee65ec2e651cb70a7a9f14276,605cf0253c34df86,GNU GPLv3,2019-10-12_18-58-10,v0.5.11+commit.c082d0b4,Default,43,0,7151
yCurveZapOut,0xf2ff83844ffba41b4ebbf31296f9bb638107364b,4ad7a7c2316ac144,MIT,2020-03-02_07-18-21,v0.5.12+commit.7709ece9,Default,381,0,23808
ZXTHGold,0x50668356cadfb5cae006c06ed16bcffc11524218,607337674e6d0622,MIT,2020-05-16_13-01-21,v0.5.10+commit.5a6ea5b1,Default,635,0,9115
Storage,0x7d9a27dbba3619c1d8b42f22fdf28edb85bf744c,43997b9756fa03cb,GNU LGPLv3,2019-10-23_17-00-27,v0.4.25+commit.59dbf8f1,Default,2,0,6451
GovernanceRegistry,0x4b765ca2049a79ed70325e9074f16aacd9e63807,3b676e6cda409805,MIT,2020-04-28_23-07-10,v0.5.4+commit.9549d8ff,Default,1,0,1956
